                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1490811869147942E+005   0.0000000000000000E+000                         0                         0                      1118                      1118
  0.1510821405176120E+005   0.0000000000000000E+000                         0                         0                      1133                      1133
  0.1530696547228157E+005   0.0000000000000000E+000                         0                         0                      1148                      1148
  0.1550698458542383E+005   0.0000000000000000E+000                         0                         0                      1163                      1163
  0.1573238315863806E+005   0.0000000000000000E+000                         0                         0                      1180                      1180
  0.1595908552171152E+005   0.0000000000000000E+000                         0                         0                      1197                      1197
  0.1613156687070590E+005   0.0000000000000000E+000                         0                         0                      1210                      1210
  0.1633138681252750E+005   0.0000000000000000E+000                         0                         0                      1225                      1225
  0.1655771042903100E+005   0.0000000000000000E+000                         0                         0                      1242                      1242
  0.1673061059442649E+005   0.0000000000000000E+000                         0                         0                      1255                      1255
  0.1693100136631446E+005   0.0000000000000000E+000                         0                         0                      1270                      1270
  0.1721027522160198E+005   0.0000000000000000E+000                         0                         0                      1291                      1291
  0.1735739438343386E+005   0.0000000000000000E+000                         0                         0                      1302                      1302
  0.1761004930323917E+005   0.0000000000000000E+000                         0                         0                      1321                      1321
  0.1781053442865962E+005   0.0000000000000000E+000                         0                         0                      1336                      1336
  0.1801028206585048E+005   0.0000000000000000E+000                         0                         0                      1351                      1351
  0.1818342954805285E+005   0.0000000000000000E+000                         0                         0                      1364                      1364
  0.1838398994098570E+005   0.0000000000000000E+000                         0                         0                      1379                      1379
  0.1858337175175385E+005   0.0000000000000000E+000                         0                         0                      1394                      1394
  0.1878388201854781E+005   0.0000000000000000E+000                         0                         0                      1409                      1409
  0.1901030083487627E+005   0.0000000000000000E+000                         0                         0                      1426                      1426
  0.1921038008444533E+005   0.0000000000000000E+000                         0                         0                      1441                      1441
  0.1941076039017887E+005   0.0000000000000000E+000                         0                         0                      1456                      1456
  0.1961023061883821E+005   0.0000000000000000E+000                         0                         0                      1471                      1471
  0.1981088024651870E+005   0.0000000000000000E+000                         0                         0                      1486                      1486
  0.2001048941136523E+005   0.0000000000000000E+000                         0                         0                      1501                      1501
  0.2021067576936706E+005   0.0000000000000000E+000                         0                         0                      1516                      1516
  0.2041098510919374E+005   0.0000000000000000E+000                         0                         0                      1531                      1531
  0.2058382089679383E+005   0.0000000000000000E+000                         0                         0                      1544                      1544
  0.2078444025939289E+005   0.0000000000000000E+000                         0                         0                      1559                      1559
  0.2101072582362827E+005   0.0000000000000000E+000                         0                         0                      1576                      1576
  0.2118421816913827E+005   0.0000000000000000E+000                         0                         0                      1589                      1589
  0.2138462607654783E+005   0.0000000000000000E+000                         0                         0                      1604                      1604
  0.2166429443136174E+005   0.0000000000000000E+000                         0                         0                      1625                      1625
  0.2181144829885119E+005   0.0000000000000000E+000                         0                         0                      1636                      1636
  0.2206421427171429E+005   0.0000000000000000E+000                         0                         0                      1655                      1655
  0.2226481130171480E+005   0.0000000000000000E+000                         0                         0                      1670                      1670
  0.2246453238602041E+005   0.0000000000000000E+000                         0                         0                      1685                      1685
  0.2263780612707271E+005   0.0000000000000000E+000                         0                         0                      1698                      1698
  0.2286496429242610E+005   0.0000000000000000E+000                         0                         0                      1715                      1715
  0.2303775535100982E+005   0.0000000000000000E+000                         0                         0                      1728                      1728
  0.2323829192169088E+005   0.0000000000000000E+000                         0                         0                      1743                      1743
  0.2343808768169016E+005   0.0000000000000000E+000                         0                         0                      1758                      1758
  0.2363801811070097E+005   0.0000000000000000E+000                         0                         0                      1773                      1773
  0.2383845697682646E+005   0.0000000000000000E+000                         0                         0                      1788                      1788
  0.2406456491411459E+005   0.0000000000000000E+000                         0                         0                      1805                      1805
  0.2426516624329203E+005   0.0000000000000000E+000                         0                         0                      1820                      1820
  0.2446467561801197E+005   0.0000000000000000E+000                         0                         0                      1835                      1835
  0.2466492148648258E+005   0.0000000000000000E+000                         0                         0                      1850                      1850
  0.2486504256348092E+005   0.0000000000000000E+000                         0                         0                      1865                      1865
  0.2503792367497601E+005   0.0000000000000000E+000                         0                         0                      1878                      1878
  0.2523849956204259E+005   0.0000000000000000E+000                         0                         0                      1893                      1893
  0.2549123869600237E+005   0.0000000000000000E+000                         0                         0                      1912                      1912
  0.2563821166228782E+005   0.0000000000000000E+000                         0                         0                      1923                      1923
  0.2589145906947483E+005   0.0000000000000000E+000                         0                         0                      1942                      1942
  0.2611814152699981E+005   0.0000000000000000E+000                         0                         0                      1959                      1959
  0.2631832713678579E+005   0.0000000000000000E+000                         0                         0                      1974                      1974
  0.2649114514161029E+005   0.0000000000000000E+000                         0                         0                      1987                      1987
  0.2671838535681616E+005   0.0000000000000000E+000                         0                         0                      2004                      2004
  0.2689124931736620E+005   0.0000000000000000E+000                         0                         0                      2017                      2017
  0.2709135120495842E+005   0.0000000000000000E+000                         0                         0                      2032                      2032
  0.2729153863734348E+005   0.0000000000000000E+000                         0                         0                      2047                      2047
  0.2751776305355996E+005   0.0000000000000000E+000                         0                         0                      2064                      2064
  0.2771825852130994E+005   0.0000000000000000E+000                         0                         0                      2079                      2079
  0.2791764759083867E+005   0.0000000000000000E+000                         0                         0                      2094                      2094
  0.2811806787103188E+005   0.0000000000000000E+000                         0                         0                      2109                      2109
  0.2829132228710508E+005   0.0000000000000000E+000                         0                         0                      2122                      2122
  0.2849098171065482E+005   0.0000000000000000E+000                         0                         0                      2137                      2137
  0.2869148606552092E+005   0.0000000000000000E+000                         0                         0                      2152                      2152
  0.2894421716921419E+005   0.0000000000000000E+000                         0                         0                      2171                      2171
  0.2909131075673167E+005   0.0000000000000000E+000                         0                         0                      2182                      2182
  0.2937088902266008E+005   0.0000000000000000E+000                         0                         0                      2203                      2203
  0.2957126767175813E+005   0.0000000000000000E+000                         0                         0                      2218                      2218
  0.2977118954519455E+005   0.0000000000000000E+000                         0                         0                      2233                      2233
  0.2994423635414187E+005   0.0000000000000000E+000                         0                         0                      2246                      2246
  0.3017144756162990E+005   0.0000000000000000E+000                         0                         0                      2263                      2263
  0.3034425498018956E+005   0.0000000000000000E+000                         0                         0                      2276                      2276
  0.3054461164256030E+005   0.0000000000000000E+000                         0                         0                      2291                      2291
  0.3074460257838920E+005   0.0000000000000000E+000                         0                         0                      2306                      2306
  0.3097109754265510E+005   0.0000000000000000E+000                         0                         0                      2323                      2323
  0.3114486669961631E+005   0.0000000000000000E+000                         0                         0                      2336                      2336
  0.3137098158356424E+005   0.0000000000000000E+000                         0                         0                      2353                      2353
  0.3157152437469922E+005   0.0000000000000000E+000                         0                         0                      2368                      2368
  0.3177123686892295E+005   0.0000000000000000E+000                         0                         0                      2383                      2383
  0.3197129949637131E+005   0.0000000000000000E+000                         0                         0                      2398                      2398
  0.3217163565095454E+005   0.0000000000000000E+000                         0                         0                      2413                      2413
  0.3234449104720464E+005   0.0000000000000000E+000                         0                         0                      2426                      2426
  0.3254500749819410E+005   0.0000000000000000E+000                         0                         0                      2441                      2441
  0.3274481098387870E+005   0.0000000000000000E+000                         0                         0                      2456                      2456
  0.3294479517497148E+005   0.0000000000000000E+000                         0                         0                      2471                      2471
  0.3314520578014394E+005   0.0000000000000000E+000                         0                         0                      2486                      2486
  0.3342486914927327E+005   0.0000000000000000E+000                         0                         0                      2507                      2507
  0.3357199044014106E+005   0.0000000000000000E+000                         0                         0                      2518                      2518
  0.3382484273430094E+005   0.0000000000000000E+000                         0                         0                      2537                      2537
  0.3402535887005562E+005   0.0000000000000000E+000                         0                         0                      2552                      2552
  0.3422518139001420E+005   0.0000000000000000E+000                         0                         0                      2567                      2567
  0.3439841642355185E+005   0.0000000000000000E+000                         0                         0                      2580                      2580
  0.3462558440056576E+005   0.0000000000000000E+000                         0                         0                      2597                      2597
  0.3479845093529408E+005   0.0000000000000000E+000                         0                         0                      2610                      2610
  0.3499891017392254E+005   0.0000000000000000E+000                         0                         0                      2625                      2625
  0.3519883271697670E+005   0.0000000000000000E+000                         0                         0                      2640                      2640
  0.3539871941010583E+005   0.0000000000000000E+000                         0                         0                      2655                      2655
  0.3559919640424786E+005   0.0000000000000000E+000                         0                         0                      2670                      2670
  0.3582538162090431E+005   0.0000000000000000E+000                         0                         0                      2687                      2687
  0.3599920764827300E+005   0.0000000000000000E+000                         0                         0                      2700                      2700
  0.3622562993703047E+005   0.0000000000000000E+000                         0                         0                      2717                      2717
  0.3642577422723604E+005   0.0000000000000000E+000                         0                         0                      2732                      2732
  0.3662605107714846E+005   0.0000000000000000E+000                         0                         0                      2747                      2747
  0.3682564573278984E+005   0.0000000000000000E+000                         0                         0                      2762                      2762
  0.3702620488665672E+005   0.0000000000000000E+000                         0                         0                      2777                      2777
  0.3719924521780779E+005   0.0000000000000000E+000                         0                         0                      2790                      2790
  0.3739929306263252E+005   0.0000000000000000E+000                         0                         0                      2805                      2805
  0.3759963316819825E+005   0.0000000000000000E+000                         0                         0                      2820                      2820
  0.3779918518893868E+005   0.0000000000000000E+000                         0                         0                      2835                      2835
  0.3799971998388170E+005   0.0000000000000000E+000                         0                         0                      2850                      2850
  0.3825261887953462E+005   0.0000000000000000E+000                         0                         0                      2869                      2869
  0.3842628929956042E+005   0.0000000000000000E+000                         0                         0                      2882                      2882
  0.3865294162736461E+005   0.0000000000000000E+000                         0                         0                      2899                      2899
  0.3887956762118391E+005   0.0000000000000000E+000                         0                         0                      2916                      2916
  0.3907986845408188E+005   0.0000000000000000E+000                         0                         0                      2931                      2931
  0.3925275093678977E+005   0.0000000000000000E+000                         0                         0                      2944                      2944
  0.3947993727500735E+005   0.0000000000000000E+000                         0                         0                      2961                      2961
  0.3965299718780127E+005   0.0000000000000000E+000                         0                         0                      2974                      2974
